amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"2,010",Support Ifadat to improve her mental health and bronchitis condition,U.S. Dollar,,of $1.7k goal,41,"I am hard worker bread winner mother of four  kids in my home, I got
  up at 4 am everyday  to make sure my mental ill daughter will have
  everything in place before I get outside of our village home. I love to toil to earn, my business has been provided enough for food
  medications and pay some bills, I am not a person to beg , I am
  overwhelmed, starvation and lack of  medications for my beloved mental
  ill daughter is forcing me  to lend your supporting hand, I had my
  visitors when Ifadat (my daughter) her condition was not worse like
  now, they would be staying home without any condition, some from
  couchsurfing social media, volunteers from around the globe and
  locals, I love when I share it gives me reward in my heart, but today,
  I can’t, I am stressful, having people helped me to stay sane, I am
  bankrupt, my bank account is dry , my other kids would not like if
  they come to know I am preparing this, it will embarrass them,  there
  is no way out for the time being. * am trying to get support for
  schizophrenia daughter, the suffering is too much without food and medications. , Ifadat is schizophrenic, she looks 18 years old probably because she
  does not like to go outside and socialize also she has got chronic
  bronchitis , she is 30 years old., Ifadat gets violent to me when she
  does not use her prescribed medications,  I made sure always she was
  on them, now we are in trouble due to lack of money to buy food and
  medications. There is no road of recovery from schizophrenia sufferers
  I must buy medication continuously (Forever), I am not employed , my
  small scale cooking class business stopped due to Coronavirus effects. I understand that 2020 has been an extremely difficult year for the
  entire world, for so many reasons. I also understand that because of
  this there are many people doing it tough right now. So, I completely
  understand if you can give anything to support my daughter ’to get her
  medications to keep her going, her condition will improve I  will
  appreciate, anything you can contribute to help her. Thanking you in advance",https://fundrazr.com/81gpn9
"12,100","Help Nicko settle unpaid hospital bills, fund his surgery, and start therapy",,,,,"Ever since Nicko's fight against COVID-19 complications started, his
  family has been striving to pool enough funds for his treatment on top
  of their day-to-day finances. The overwhelming amount of help they've
  received previously definitely lifted some of the burden off their
  shoulders and they are beyond grateful to everyone who reached out. However, his fight isn't over yet. Unpaid hospital bills, sinus surgery, and low vision therapy are
  the issues needing immediate action. HOW IS NICKO DOING? After being discharged from the hospital, he continued his medication
  at home for four (4) weeks. This meant stocking up on antibiotics and
  other medical supplies totaling to ₱2,500 per day. Aside from this, he was required to do a series of lab and
  imaging tests to monitor his meningitis and brain abscess. Blood work alone costs ₱8,000
    per test and MRI at ₱12,000 per scan. By the grace of God, the latest MRI results showed
  that swelling on his brain reduced. Despite this, the brain abscess is
  still present. There were no significant changes observed so the
  doctor advised him to continue taking antibiotics for two (2) more
  weeks. While he may recover after completing the antibiotic treatment,
  the infection could come back and trigger yet another episode of
  meningitis and appearance of brain abscess. To assist with the expenses and unpaid hospital bills, he went
  back to work even with only one functioning eye — an
  impediment he is trying to live with. WHAT'S NEXT FOR HIM? ENDOSCOPIC SINUS SURGERY - The
  bone serving as barrier between his sinus and brain is slowly eroding,
  making the risk of meningitis and brain abscess reappearance higher.
  Having the mucocele removed from his sphenoid sinus could eliminate
  that possibility. LOW VISION THERAPY - The loss of vision in his left eye made his mobility and perception
  limited. To help him adjust and continue living with this impediment,
  he has to consult a low vision specialist and undergo therapy. SETTLING UNPAID HOSPITAL
  BILLS - When he was discharged from the hospital, he left an
  outstanding balance amounting to more than ₱125,000. His discharge was processed under the agreement that he will
  pay his unsettled account after a month. The deadline is fast approaching. WHAT WILL YOUR HELP ACHIEVE? No aid or intention is big or small. Whatever you are able to
  provide, no matter how much, will be a step towards a new life for
  Nicko and his family and the days of worrying over how to live
  day-by-day will definitely be over. We hope you and your loved ones continue to be safe and strong.
  No amount of gold can equal a long and healthy life. Below are platforms where you can extend help: BPI: GCASH: 0917 305 4102",https://fundrazr.com/helpnicko
"2,735",My sister’s battle against Stage 4 Metastatic Breast Cancer,U.S. Dollar,,of $10k goal,29,"Back in December 2019, my sister Sateen's life
  changed before her eyes. She was diagnosed with Invasive Ductal
  Carcinoma Triple Positive Breast Cancer at the young age of just 37.
  She now has Stage 4 Metastatic Breast Cancer . Her
  cancer in the last few months, has metastasized to her sternum, ribs,
  and clavicle. Sateen is being treated at Sibley Hospital in Washington DC. She has
  gone through 4 months of TCHP chemo (will continue HP chemo for life),
  a double mastectomy surgery/12 lymph nodes removed, first round (6
  weeks) of proton and photon radiation, ovarian suppression shots,
  bi-weekly tests/checkups and has several medications she takes daily.
  She has undergone two rounds of DIEP reconstruction surgery both in
  December and in May, and is recovering well. I’ve created this fundraiser to help Sateen focus on getting better
  and not have to stress the constant medical bills that come her way.
  Many of you have asked, when she will go through remission and the
  answer is never. Sateen has Stage 4 MBC which cannot be cured, only
  treated. She has ongoing chemo treatment every 3 weeks. Your support
  and prayers are greatly appreciated! Please feel free to share this link and help support in any way
  you can ♥️ God bless and thank YOU!",https://fundrazr.com/41k7id
"1,553",Black Trans Healing support,Pound Sterling,,of £1.9k goal,43,"Our dearest friend will be having their top surgery this autumn,
    and we want to make sure they are able to heal and receive the care
    they deserve without further financial strain. They give so many of
    us so much love and care it is time we show up for them in reciprocity. They will be having their surgery abroad (in Spain) as Trans
    healthcare in the UK remains inaccessible to our community. We need funds to cover their healing period. Our friend will
    need people to come with them and support them during their stay in
    Spain. We will help with making meals, doing shops, translating into
    Spanish and supporting them with everyday tasks. To make sure they heal without stress we will be staying in
    accommodation near the hospital with a room for them and one for the
    people who will take care of them. Despite the surgery being cheaper abroad it is still costly and
    no Black Trans person should be expected to pay so much to access
    their right to healthcare. This is an estimate of the cost breakdown. - Accommodation : £1264.74 -PCR testing Spain: £54 - PCR testing UK : 5 x 4= £20 - Flights : 74.44 + 67.98 + 35 + + 16 + 64 = £257.42 -Transportation: £100 - Food: £100 Estimated total: £1796.16 *£1900 total to cover card charges and website cut Please donate what you can, it all helps. Our friend deserves to
    heal in care and love.",https://fundrazr.com/51tOk6
"6,285","Support UK Black and Brown Trans People's healthcare, housing and mental health",,,,,"Fundraising for UK Black and Brown Trans people's healthcare,
  housing, and mental health. Applications for recipients of this fund
  please email malaika@diversifytrans.co.uk Black and Brown Trans people in the UK are some of the most
  marginalised individuals. Covid has seen Gender Identity Clinics
  across the UK further postponing vital gender-affirming treatments,
  meaning that people who have been waiting 3 years are now facing an
  uncertain future as to when they will receive life saving treatment. These restrictions disproportionately affect Black and Brown Trans
  people, as they are already experiencing a post colonialist wealth
  disparity (they are poorer than their white counterparts because of
  colonialism and systemic racism). We need to be supporting all Trans people and all Black and Brown people. We cannot say Black Lives Matter
  without saying ALL BLACK LIVES MATTER. We cannot say Trans Rights Are
  Human Rights without saying BLACK AND BROWN TRANS PEOPLE ARE SACRED. If you are wondering what you can do to support the Black and Brown
  Trans community, it is directly redistributing your wealth to support
  this community's needs. Donating to this fund is a start.",https://fundrazr.com/71jvj2
"2,004",Por la Vida de José Daniel,U.S. Dollar,,of $2k goal,50,"El es José Daniel un Dj, un aficionado por la bicicleta, un hijo, un
  nieto, un primo, un amigo, también un ser amante de la vida, los
  negocios, una mente joven, maravillosa, un gran ser humano. Es un Joven con un futuro lleno de muchos sueños por delante, a sus
  19 años ha conseguido muchos logros, fue presidente del consejo
  estudiantil de su colegio, fue competidor profesional de Bmx, y
  campeón muchas veces, una mente brillante y un joven con muchos
  proyectos de vida para su futuro, viajes, estudios. Jose también tiene
  un gran corazón y ayudo a muchos jóvenes a disfrutar en la pandemia,
  ¿cómo? Pues el los ayudo a salir de la rutina y realizó varios en
  vivos por instagram para que todos tengan una noche diferente cuando
  todo se detuvo, todos estos actos hacen de José un excelente DJ, el
  mejor de su ciudad natal Ibarra - Ecuador. A su corta edad tiene
  varias obligaciones, por lo que su carrera se DJ le ha a ayudado a
  solventar muchos gastos de hogar y sobre todo sus estudios. El día 29 de septiembre en una práctica de bicicleta tuvo un
  accidente el cual lo dejó con varias lesiones entre ellas una fractura
  de la clavícula, pero sobre todo dejó muy dañada su columna vertebral
  y parte de su cervical dejándole inconsciente por 2 minutos  cuando
  paso el accidente, por lo que lo puede dejar paralítico, él y toda su
  familia no contamos con el dinero suficiente para poder completar con
  los gastos hospitalarios, por lo que pedimos a todos, no dejemos que
  la luz de José Daniel se apague. His name is José Daniel, a bike enthusiast, entrepreneur, a
  self-taught Producer and DJ, a son. At his 19 years though life he has paved the way to his dreams
  already, a way made by success after success that made who he is right
  now. He figures that through discipline he can become whatever he felt
  like, he could become the professional BMX rider he once was, and
  still is trough our eyes, he could become the great student through
  love and hard work, he became someone all his family looks up to. On September 29th José went to a bicycle practice where he had an
  accident with some injuries to his spinal chord and other minor
  injuries that could contribute to him not being able to walk again. He
  is going through surgery as we are writing this to let you know that
  the costs of the emergency are very high and we are not capable of
  paying for this at the moment, that is the reason we are opening this
  crow-funding in case anyone wants to contribute to the cause of
  getting him the care he needs so he can hope of getting back to his
  bicycle or any other thing that is good at and will be good at. We appreciate any support, Thanks for your time! https://instagram.com/jonielonfire?utm_medium=c",https://fundrazr.com/91tUW6
215,Help Amanda Heal from Sexual Abuse and Trauma,Canadian Dollar,,of $5k goal,4,"Hello, my name is Amanda. I am an autistic, non-binary, mentally ill,
  and disabled person from Ontario. I’m fundraising to help pay for food, housing, and counselling
    to heal from long-term sexual abuse. I experienced multiple cases of sexual assault and endured ongoing
  sexual abuse for over a decade. Currently, I’m trying to heal from the trauma but am facing many
  barriers (due to ableism, transphobia, and poverty) for basic needs,
  mental health support, and relocation to a new city. My application for disability assistance is pending and I am
  struggling to pay for food and shelter. I also am seeking counselling. I need to fundraise urgently because I am struggling to live
    on just a few hundred dollars a month and need to relocate ASAP. Your donation would help me pay for: Groceries, home supports, and housing Relocation to a new city away from abusive ex-partners and to
    access disability and mental health services Trauma-informed autistic-friendly counselling Thank you so much! Any amount helps and would make a big
    difference in my life and my journey in healing.",https://fundrazr.com/helpamanda
825,Boost your immunity and save a life.,U.S. Dollar,,of $10k goal,8,"Every person that joins this campaign is a cherished soul in
      this journey.  Whether $5 or 500, I want you to benefit from the
      wisdom offered.  When we reach the end goal, I want you to feel
      grateful that you accepted this unique invitation. I have very limited the capacity to share my story.  See
        updates for details on status. ~* The Problem to Solve I moved into a toxic rental home with
  serious water damage. I am very sick and need help. As a result of this experience, I
  invested significant effort into researching why mold made me sick,
  how to not make this mistake again and to repair the damage caused to
  my body. (See detailed info below.) By teaching you what I learned I can help others AND accelerate my
  own recovery. It is my intent over the course of the next 3 months to give my
  supporters valuable lessons I gathered while sharing with you the
  impact of your kind generosity. The Goal Raise 8,000 for moving expenses within 30 days, and Share these valuable lessons with you. Can I raise $2,400 for initial security deposit by 11/15? Barriers to Moving and Medical Recovery Pursuing legal action for damaged caused to me, with limited renter
  protections and no immediate payout for moving and medical, means a
  likely end to my story. I had a stroke a week ago and it has impacted my short term memory. 
  I have a weak heart and kidneys currently.  My immune system is on
  hyper-drive. I have inadequate resources and do not have the capacity
  to move without help. The Impact of Your Donation Medical recovery is possible with your help. Not only can I survive,
  but I can help other people like you thrive more with the lessons learned. I'm an orphan, so I don't have family to help. Every donor who helps
  becomes my family and part of a community of people that make this
  educational project possible for us all, while helping with my recovery. This emergency fundraiser is my ultimate act of love and leap of
  faith that by investing in this path, I made the right choice for
  recovery which matters for you, as much as it does for me. What a Donor will Receive in Exchange for their Donation Primarily what you are receiving is the pleasure of knowing you
  helped someone in need that could save their life.  The joy you bring
  me with your presence (no matter what you give) will be PROFOUNDLY heartfelt. Everyone participating in this campaign will receive regular health
  lessons I learned, regardless of your donation level. Gifts over $500 are precious and highly valued in getting toward the
  desired goal quickly.  I want to do something very special for those
  donors, but I can't promise anything specific because it will affect
  the tax free status of this emergency fundraiser. The wisdom gathered came from two doctor's summits in which
  presentations to optimize health were offered. (Almost none of
    these doctors are paid through insurance companies.) CAUSE: Mycotoxin and Chronic Illness Doctors Summit SYMPTOMS: Reversing Alzheimers Doctors
    Summit (A common result of toxin illness.  And yes, they proved
    it is possible!!!) MEDICAL PROGRAM: Andrew Weil Center for Integrative
      Medicine at The University of Arizona, Course in Environmental Medicine FINDING HIDDEN WATER DAMAGE. Mold Finders method for identification, sampling
      and dealing with contractors. After analyzing over 70 presentations, I found common threads of
  wisdom and put together my own action plan for treatment. I will
  measure status (Labs and Cognitive Tests) before and after
  treatment and share my journey with supporters along the way . I'm absolutely confident that
      this is a journey worth sharing for ALL of us. ABOUT WHAT I LEARNED ON THE IMMUNE SYSTEM AND ENVIRONMENTAL TOXINS Our immune system repairs injuries and eliminates toxins from our
  environment 24 hours a day. Our ability to eliminate or tolerate
  toxins changes with time and our life experiences. If you keep your
  body strong by making good choices over lifetime, you can have more
  bounce, energy and joy. From mold in our homes, the fumes from the products we inhale or put
  on our bodies, to eating too much sugar, or physical injuries, these
  all weaken our immune system which causes inflammation and leads to
  life threatening diseases over time. Your goal is to learn how to STOP inflammation, no matter the source. (And NOT use drugs to do it!) Good health is your greatest gift of all. Each health choice you make
  every day is an act of love for yourself and the people around you to
  have your best life possible, TOGETHER. Imagine that your whole body is like this bucket above. There is a
  limited capacity on how fast you can eliminate toxins. Avoid adding
  stuff to your bucket and get it out as fast as you can. The more you
  do to support that process with each body part and process, the
  healthier you will be at any age. Below is some of the wisdom I
      want to share with you during my recovery journey. How Our Body Processes Toxins What Bio-Toxins Are Support Your Blood and Oxygen Circulation Support Your Food Digestion Support Your Regulation of Nerves and Hormones Maintain a Strong Environmental Barrier Test Your Body And Home To Determine Status Recognize YOUR Toxic Exposure Sources (Checklist) Evaluate The Safety Of The Products You Use How To Make Your Air Healthier To Breathe Minimize Your EMF Exposure Quickly Acquire And Store The Precious Vitamin D To Fight Toxins Save Thousands Of Dollars And Inconvenience on Labs Cleaning And Keeping Your Home Healthy Much more content is available soon.  If there is a burning question
  or topic you want covered, let me know so I can prioritize that. The Solution to the Problem These small actions by many people can lead to big results. Learn about the project and donate. Help
    save a life (or many) and learn to boost your own immunity by donating. Share this project with 3 or more people. (See sharing links provided or use any method that works for
      you.) Your help here would be PROFOUNDLY appreciated. I'm
      EXHAUSTED. Think of sharing with people who can: Benefit from this wisdom, or Help this project be successful. Share your ideas to boost effectiveness of this concept. To have the positive community impact intended, all
    suggestions to improve are very welcome. ( Give ideas here. ) Here is a video I made for you. 
      I'm not very sparky right now.  I hope you find it helpful. If I am blessed with donations beyond moving expenses, it will go
  toward medical costs for detoxification and reducing chronic
  inflammation (mast cell activation).   It also empowers me the not
  only survive, but to also thrive and share this wisdom.  ~ If you are
  a donor wishing to make a substantial impact please view my action plan landing page . This fundraiser is about more than seeking help for recovery.  I
  GENUINELY want everyone touched by this project to benefit from it. Thank you for visiting.  Your
      presence is profoundly appreciated. ~Kimberly ~* For your inspiration",https://fundrazr.com/BoostImmunity
"743,665",British Gut,,,,,"Important Update - Kit
    fulfillment notice. We are currently not able to supply any of our regular
    collection kits. Any general contributions made using the orange
      ""Donate"" button will be counted only as a donation, not
      as an exchange for a kit. The Microsetta Initiative and its
  subsidiaries, including the British Gut Project, have pivoted to
  COVID-19 research and are revising our kits to support this effort. We
  are working as hard as we can, but please be patient as these changes
  have required a complete overhaul of our infrastructure. In addition, we are in urgent need of funding to support these
    research endeavors. We are part of the UC San Diego School of
    Medicine. We are actively working with frontline workers, sharing
    limited resources, and engaged with the broader San Diego research
    network studying all aspects of this virus and disease. Please
    consider making a donation directly: https://go.ucsd.edu/2QlTi8n More information about these recent changes
  can be found in the UC San Diego News: https://ucsdnews.ucsd.edu/feature/call-for-citizen-scientists-to-contribute-to-covid-19-studies __________________________________________________________________________________________ Welcome! The British Gut Project (supported by The Microsetta
    Initiative) is an open-source crowd-funded project run by The Department of Twin Research
      & Genetic Epidemiology at King's College London in conjunction with The American Gut Project . The
    aim is to uncover the microbes associated with individuals from the
    U.K. These data will help us understand how our lifestyle choices
    and diet influence our microbiome and whether these patterns
    replicate in samples from individuals in the United States. This
    study aims to produce a large-scale collection of anonymized human
    samples and lifestyle information for researchers and provide each
    participant with an educational snapshot of their microbes. If you are a participant living outside Europe and would
      like to participate, please refer to our Microsetta Initiative page. Many people don't realize that the bacteria that live inside us
    play a vital role in our health. Incredibly they make up 50 percent
    of the cells in our body, and their most important jobs include
    manufacturing vitamins for us and breaking down and digesting our
    food. The trillions of bacteria in our gut weigh nearly 2 kg (over
    4lbs). This community of bacteria behaves like an extra 'organ,'
    which we call our ""microbiome."" Research has discovered
    that small changes in our finely balanced microbial communities can
    affect our immune system, metabolism, body weight, mood. It may even
    cause diseases such as Crohn's disease, irritable bowel syndrome,
    cancer, autoimmune responses, diabetes, and heart disease. What is the British Gut Project? The British Gut Project is the first of its kind in Europe! With
    your help, we will discover more about the crucial relationship
    between our health and our microbiome. On a personal level, you will
    be able to find the bacterial profile of your gut. Your unique
    microbes will help us answer questions such as 'How much does our
    choice of lifestyle and diet influence our microbiome, and can we
    alter our microbiome to make us healthier?' More research is needed to determine what constitutes a
    'healthy' microbiome, and which combinations of bacteria are
    beneficial and why. To make this ambitious and much-needed project a
    success, we urgently need a large-scale collection of human samples.
    Over ten thousand people have signed up in America already through
    the American Gut Project, but to fully advance science, we need many
    more from Europe to participate. You can probably tell that our project focuses mainly on the
    gut, our main 'microbial home.' However, the study will also look at
    areas. Our collection kits can also be used for oral, skin, and
    nasal samples as well as samples from around your home surfaces! Join the project. We are currently not able to supply collection kits.",https://fundrazr.com/britishgut
"25,240",Andrea and Marta: Survivors Getting on their Feet,U.S. Dollar,,of $10.8k goal,296,"My name is Tim Curtis, and I live in the small mountain community of
  Monteverde, Costa Rica, where I am Executive Director of a small
  non-profit.  I became acquainted with Marta when she came into my
  office over two years ago, seeking help to feed her children, while
  her husband was dying of cancer. It has been a hard 2 years for Marta and Andrea.  In that time, both
  lost their husbands - one to cancer and the other in an accident -
  Andrea's baby (born just after her husband's death) developed a heart
  condition, and Marta, a diabetic, has undergone two partially
  successful cancer operations.  She has a serious heart condition as
  well. A little over a year ago, the two crossed paths, and decided to
  make a go of it together, selling ceviche on the beach near their home
  in Puntarenas, Costa Rica. The COVID pandemic put an end to their vending activities in March,
  and they were unsuccessful in getting aid from the government to
  replace any of their meager earnings.  We have been able to keep them
  alive with the help of two previous campaigns earlier this year. This past month has been particularly devastating.  When the two
  mothers were finally able to get some temporary employment, peeling
  shrimp, Andrea caught the COVID virus from a co-worker, and the entire
  household became infected.  All were symptomatic, and Marta was nearly
  hospitalized.  In the meantime, their house was condemned by the
  Ministry of Health because of a broken septic system and they are
  being forced to leave, as the house's owner is too poor to get it fixed. We are helping them move to a house outside the city in a much safer
  location, although the rent is higher (drugs are rampant in their
  current location, and there have been several murders in the
  neighborhood since we have known them).  They are excited about being
  able to return to vending. To get started, they will need: - $171 per month for rent = $684 for 4 months - $514 per month for food = $2,056 for 4 months - $43 per month for business permit = $172 for 4 months - estimated $77 per month for utilities = $308 for 4 months - $38 for required COVID clothing for vendors We are asking for your help in giving this household another chance
  at independence.  When you truly have nothing to start with, it is a
  very long way up, we have learned.  Each small obstacle seems
  insurmountable, when you have zero money, no relatives able to help,
  and are surrounded by others in nearly the same condition. We hope that by supplying their needs for the first few months in
  their new place (Cóbano, for those who know Costa Rica), they can
  reach a level of stability they have not had since before we met
  them.  They are hard workers, when given the chance, the children are
  bright and friendly, all are now covered by the government health care
  system, and they are hopeful about this new leap.",https://fundrazr.com/91jhN0
"1,590",Melissa's Warrior Squad,U.S. Dollar,,of $10 goal,25,"Anyone lucky enough to cross paths with Melissa knows she is a
  Warrior that fights like hell for those in need of empowerment and
  support.  She gives tirelessly to others, and it is time for her to
  recuperate so much of the karma she’s given out to the world. The past two years have been challenging for many of us.  For
  Melissa, it has been an obstacle course full of trials, challenges,
  and perseverance.  In this most recent chapter, our Warrior is
  battling stage two breast cancer and has begun the long fight against
  it.  This week, she will begin a 20-week course of chemotherapy
  followed by a second surgery and radiation.  While this is a long and
  arduous journey, Melissa is facing this monster with the same optimism
  and perseverance she has faced so many others. You are probably also aware of how hard it is for Melissa to ask for
  the help and support she so readily gives with others. The emotional
  and financial costs associated with this fight, however, are
  daunting.   Melissa has reluctantly agreed to accept support with some
  items that will allow her to use her funds to continue to pay the
  rapidly accruing medical bills.  Please consider supporting Melissa
  with the items on this website and messages of support. With gratitude, The Warrior Squad The items below would help with continued wellness and travel
    to many medical appointments. Amazon Wishlist: https://www.amazon.com/hz/wishlist/ls/3KVRMRHERDOQO?ref_=wl_share Audible Wishlist: https://www.audible.com/ep/giftcenter Instacart: https://www.instacart.com/gift-cards Acupuncture Session ($40): https://mendacupuncture.com/ Gas Gift Card: https://www.buyshellgiftcards.com/ Nevermore Crossfit: https://nevermorewellness.com/ E-Z Pass Maryland Gift Card: https://www.giftly.com/gift-card/e-zpass-maryland-baltimore-2 If you have questions about how to support, please reach out to one
  of these members of the Warrior Squad so Melissa can focus on the fight! Lindsey MacNeil ( lindseymacneil@gmail.com ) Catherine Subrizi ( subrizi@mac.com ) Kathy Lees ( kathyalees@yahoo.com ) Sheila Graham ( svgraham@loyola.edu )",https://fundrazr.com/WarriorSquad
390,Help us pay for food and rent,Euro,,of €1k goal,19,"Hi, my name is Kristen and I live with my single mother who quit
    work due to her mental state, and my part time job isn’t helping
    paying for our food or rent, we don’t have any other source of
    income i sold everything expensive i have, i was thinking of selling
    my phone but i had to this before i do so. my mother is
    suffering from depression and i’m trying to do everything i can to
    help her but sometimes thing are way too hard for me as i’m just a
    16 yo i wish you guys can help me and my mother. Because soon we
    will starve and it’s okay if don’t eat but my mother needs to, and
    soon we will be without a roof covering us so this why i’m
    desperately asking for help as it is not usual for me to depend on
    others but i need you now so please if you can donate any amount it
    would mean a lot.",https://fundrazr.com/b1tGT1
926,Help Emaline recover from her Vaccine Injury,Euro,,of €1.8k goal,16,"Thank you so much for coming over to my fundraiser. You can
  also find out more about my healing journey at http://www.instagram.com/emalinesrecovery and my
  main account http://www.instagram.com/emalinedelapaix Hi there. My name is Emaline and I am a Berlin based singer
  songwriter who plays piano, acoustic guitar and celtic harp and I make
  most of my living through my music. On the 17th June I received my first and only Pfizer vaccine and
  for the first few days I had a very sore arm which I thought was a
  normal side effect so just accepted it. Ten very quickly my fingers
  swelled up and within a week I could not bend my index finger or make
  a fist. Then I started having issues with my back and within 10 days
  couldn't walk properly and was in extreme pain. Because I make my
  living mostly from music but couldn't use my hand and my back was so
  bad, I had to cancel all my Summer concerts in July/August. By the time I got to mid August my side effects included extreme
  fatigue, cramps, pains, electrical shooting and tingling all over my
  body which made it hard to walk as I got them a lot in the base of my
  feet and legs. Things started getting a little better in early
  September and I felt around 50% better after taking a lot of
  vitamins/minerals that were prescribed to me by my naturopath and
  advised by the FLCCC but unfortunately that didn't last... Things went downhill again around the 3rd week of September when
  the burning, cramps etc returned with a fury and then by the first
  week of October my leg had swollen up and I ended up in hospital as
  the pain was so bad I couldn't walk properly. I spent a week in bed as
  well as 3 weeks walking on crutches which I also had to pay for
  myself. As of the first week of November I can now walk without
  crutches but I am still limping and in pain. I keep a crutch with me
  on bad days just in case. Up until now I have seen 12 doctors including regular doctors,
  neurologists, rheumatologists as well as 2 naturopaths, massage
  therapists and 2 physiotherapists. I've had x-rays on my hands, one
  nerve test on my hands and some basic blood tests including ANA and a
  blood clot test and still nothing is showing up. I was given many
  drugs since July including steroids and even anti depressants but told
  me they don't know what is wrong or what to do, so I just keep trying
  things. The last Doctor I saw was a private rheumatologist that I had
  to pay out of my own pocket including the blood tests which in total
  came to €348. I do have health insurance which I pay for
  each month so it covers the doctors visits and for that I am so
  grateful but there have been a lot of out of pocket expenses including
  anything that's considered alternative like the massages which have
  helped ease my pain as well as the naturopath, vitamins, minerals,
  medicines, the private Doctor and extra blood work not covered under
  insurance. I have also had 2 high dose Vitamin C infusions which were
  supposed to help heal cells but unfortunately for some reason I had a
  bad reaction both times. I asked the Doctor about this but she said
  it's not possible to have a bad reaction to Vit C so again I am left
  without answers. At this point I am looking at other options like hyperbaric
  oxygen therapy as well as oxygen blood cleaning therapy and/or seeing
  another more open minded private Doctor to do full tests.
  Unfortunately all of these options are out of my reach right now as I
  am not earning a lot due to my illness and have no savings. If you
  would like to support my recovery I would be so grateful to you! If you prefer you can also support me by buying my digital music
  and handmade CD's at http://www.emalinedelapaix.bandcamp.com or you
  might find something you like at my vintage etsy store https://www.etsy.com/shop/wildfindsvintageshop or https://paypal.me/emalinedelapaix or https://buymeacoffee.com/emalinedelapaix Thank you so much for your love. I will keep you updated on my progress over the coming weeks :) xx Emaline BEFORE AND AFTER THE VACCINE",https://fundrazr.com/helpemalinerecover
"3,100",Help Savanna #keepmoving towards #curecp with an Alinker walking bike,U.S. Dollar,,of $3k goal,26,"A Alinker for Savanna,  age 13, with cerebral palsy. Hi and thank you for visiting my campaign . My name is Savanna, I have a twin sister, and 2 younger brothers. We
  have a dog named Ranger who is kind of like a therapy dog to me. I
  have cerebral palsy,  and use a wheelchair for long distances and
  sometimes a walker when my knee and body doesn't hurt. I would love to own a Alinker walking bike so I can be upright, tall,
  and eye level with my friends and move around.  My mom says it would
  be good for my posture and legs . I want to look and be normal like other kids my age. I like to sing
  in talent shows,  dance and do makeup. I like to play sledge hockey,
  that is my favorite sport. I am good at beating my brothers on sports
  videos games and I can get very competitive. I like all sports , I am
  joining a power chair soccer team. I like to be out with my friends
  and want to use the Alinker at the mall with them. The Alinker team has a small used Alinker bike that I finally grew
  tall enough to fit. I think it will be great .. Thanks for looking at my campaign, I hope you can help and share the page.",https://app.cocopay.co/91sy85
"4,784","""It’s not how much we give, but how much love we put into giving.""",Singapore Dollar,,of $80k goal,43,"I dedicate this to a fellow colleague who is a wife and mother to two
  lovely daughters, ages 8 and 2 years old. We may not be related by blood by the state she is in today tells me
  that real relationships are made by the heart and not valued less than
  that.  It may stay for a few spans of time but it gives the moment of life. 6 years ago, our paths crossed and I met her in my workplace.  She
  was a colleague, my supervisor whom we then became friends and grew
  closed.  We faced our ups and downs but despite it all, we still
  maintain our relationship. Sheila has been working in Singapore for many years and one day, her
  visa for her children has expired after many extensions.  This
  happened during the pandemic period and everyone knows how tough the
  situation can be.  She had no choice but to let go of her helper and
  return to Philippines alone with her 2 daughters leaving her husband
  behind to continue work in Singapore. While in the Philippines, she continued to work from home,
  juggling to take care of her children without the help of her husband
  and helper.  Despite the difficulties faced, she continued to be the
  devoted worker and mother to her career and family life. Unfortunately, when she found out she has colon cancer, she was
  already in Stage 4.  She is now undergoing Chemotherapy at Calamba
  Medical Centre. Going through Chemo is not only expensive but weakens her body
  as well.  Now that her husband is back in the Philippines, she is
  getting the extra support she needs. Although prayers are important, the expenses for her medical and
  chemotherapy sessions are costly. A very little key will open a very heavy door.  More often than
  not, to us, it may seem like it doesn't take much to make any big
  changes in her life but TOGETHER if we start with small steps to help
  her morally and financially, it will take her far to motivate her even
  more to fight this cancer. Sheila is not giving up at all and continues to remain positive! Let's help to contribute whatever we can so that she can regain
  her health to be the every role she needs to be in the lives of her
  loved ones. I thank you for reading and helping Sheila and her family.",https://fundrazr.com/71tBx3
"8,632",MJ’s Cancer Fighting Fund,Canadian Dollar,,of $21.1k goal,41,"I’ve been diagnosed with breast cancer, 3 tumors, grade 3, HER2
  positive and I’m currently awaiting surgery for a double mastectomy on
  September 9 and will know the results and my treatment plan (chemo and
  targeted therapy) at my follow up appointment 2 weeks after surgery. There is so much to do to think about and to prepare for. Cancer is
  expensive. Multiple prescriptions, supplements, equipment, medical
  aids, special foods, clothes and the list goes on.  EI Sickness
  Benefits don’t cover the bills, never mind my Cancerland lifestyle. Many have suggested that I start a fundraiser to help alleviate the
  financial burden and the stress that comes with that so I can focus on
  my recovery and fight for my life back. Thank you so much if you are
  able to help but if you aren’t, I understand that too. Prayers and
  well wishes are always graciously accepted. MJ 🙂🙏",https://fundrazr.com/MJscancerfightingfund
